symbol,date,nav,shares
FXE,2011-06-27,142.0619354248047,0.0
FXE,2011-06-28,142.88067626953125,0.0
FXE,2011-06-29,143.589599609375,0.0
FXE,2011-06-30,144.258544921875,0.0
FXE,2011-07-01,144.57420349121094,0.0
FXE,2011-07-05,143.51539611816406,0.0
FXE,2011-07-06,142.38670349121094,0.0
FXE,2011-07-07,142.80624389648438,0.0
FXE,2011-07-08,141.87730407714844,0.0
FXE,2011-07-11,139.41012573242188,0.0
FXE,2011-07-12,139.03054809570312,0.0
FXE,2011-07-13,140.69863891601562,0.0
FXE,2011-07-14,140.6087646484375,0.0
FXE,2011-07-15,140.78854370117188,0.0
FXE,2011-07-18,140.42893981933594,0.0
FXE,2011-07-19,140.69863891601562,0.0
FXE,2011-07-20,141.5576629638672,0.0
FXE,2011-07-21,143.05593872070312,0.0
FXE,2011-07-22,142.98602294921875,0.0
FXE,2011-07-25,143.0359649658203,0.0
FXE,2011-07-26,144.44435119628906,0.0
FXE,2011-07-27,143.06591796875,0.0
FXE,2011-07-28,142.376708984375,0.0
FXE,2011-07-29,142.9760284423828,0.0
FXE,2011-08-01,141.8789825439453,0.0
FXE,2011-08-02,141.40936279296875,0.0
FXE,2011-08-03,142.49844360351562,0.0
FXE,2011-08-04,140.5401153564453,0.0
FXE,2011-08-05,142.12875366210938,0.0
FXE,2011-08-08,141.43934631347656,0.0
FXE,2011-08-09,142.69827270507812,0.0
FXE,2011-08-10,141.1595916748047,0.0
FXE,2011-08-11,141.59921264648438,0.0
FXE,2011-08-12,141.83901977539062,0.0
FXE,2011-08-15,143.7174072265625,0.0
FXE,2011-08-16,143.4076690673828,0.0
FXE,2011-08-17,143.6874237060547,0.0
FXE,2011-08-18,142.70826721191406,0.0
FXE,2011-08-19,143.27777099609375,0.0
FXE,2011-08-22,142.98802185058594,0.0
FXE,2011-08-23,143.76736450195312,0.0
FXE,2011-08-24,143.52755737304688,0.0
FXE,2011-08-25,143.19786071777344,0.0
FXE,2011-08-26,144.30690002441406,0.0
FXE,2011-08-29,144.46676635742188,0.0
FXE,2011-08-30,143.86727905273438,0.0
FXE,2011-08-31,142.9980010986328,0.0
FXE,2011-09-01,142.0576171875,0.0
FXE,2011-09-02,141.29811096191406,0.0
FXE,2011-09-06,139.369384765625,0.0
FXE,2011-09-07,140.40869140625,0.0
FXE,2011-09-08,138.25010681152344,0.0
FXE,2011-09-09,136.00155639648438,0.0
FXE,2011-09-12,136.0415496826172,0.0
FXE,2011-09-13,136.3313446044922,0.0
FXE,2011-09-14,136.90098571777344,0.0
FXE,2011-09-15,138.26010131835938,0.0
FXE,2011-09-16,137.3706817626953,0.0
